location,subject,time,value_new
CHL,EMPLOYEE,2015,14
EST,SELFEMPLOYED,2015,-1
USA,EMPLOYEE,2015,18
GBR,EMPLOYEE,2015,17
BRA,EMPLOYEE,2015,15
OECD,EMPLOYEE,2015,13
LVA,SELFEMPLOYED,2015,20
ISR,EMPLOYEE,2015,20
NZL,SELFEMPLOYED,2015,36
BEL,EMPLOYEE,2015,4
HUN,EMPLOYEE,2015,9
NZL,EMPLOYEE,2015,7
LUX,SELFEMPLOYED,2015,7
HUN,SELFEMPLOYED,2015,18
CAN,SELFEMPLOYED,2015,36
ESP,SELFEMPLOYED,2015,26
